Book,Character
Harry Potter and the Prisoner of Azkaban,"3.17 Chapter 17: Cat, Rat and Dog"
Harry Potter and the Prisoner of Azkaban,"3.18 Chapter 18: Moony, Wormtail, Padfoot and Prongs"
Harry Potter and the Prisoner of Azkaban,3.19 Chapter 19: The Servant of Lord Voldemort
Harry Potter and the Prisoner of Azkaban,3.20 Chapter 20: The Dementor's Kiss
Harry Potter and the Prisoner of Azkaban,3.21 Chapter 21: Hermione's Secret
Harry Potter and the Prisoner of Azkaban,3.22 Chapter 22: Owl Post Again
Harry Potter and the Prisoner of Azkaban,4 List of spells first introduced
Harry Potter and the Prisoner of Azkaban,5 List of deaths
Harry Potter and the Prisoner of Azkaban,"6 Editions

6.1 English-language
6.2 Translations (cover based on Scholastic's)
6.3 Translations (alternative covers)
6.4 Illustrated Editions
6.5 Hogwarts House Edition"
Harry Potter and the Prisoner of Azkaban,6.1 English-language
Harry Potter and the Prisoner of Azkaban,6.2 Translations (cover based on Scholastic's)
Harry Potter and the Prisoner of Azkaban,6.3 Translations (alternative covers)
Harry Potter and the Prisoner of Azkaban,6.4 Illustrated Editions
Harry Potter and the Prisoner of Azkaban,6.5 Hogwarts House Edition
Harry Potter and the Prisoner of Azkaban,7 Behind the scenes
Harry Potter and the Prisoner of Azkaban,8 Mistakes
Harry Potter and the Prisoner of Azkaban,9 Style
Harry Potter and the Prisoner of Azkaban,10 Film adaptation
Harry Potter and the Prisoner of Azkaban,11 See also
Harry Potter and the Prisoner of Azkaban,"Along with Half-Blood Prince, this is one of the books in the series in which the US and UK cover artwork depict the same scene and the same characters. In addition, most cover artwork for any edition in any country depicts this scene, with the exceptions being the Adult version, the Signature Bloomsbury version, the fully illustrated version and the German version. Incidentally, these two books both feature a character in the title other than Harry Potter."
Harry Potter and the Prisoner of Azkaban,"Rowling's original plan was for Aunt Petunia to be inflated, as seen at the end of the second book."
Harry Potter and the Prisoner of Azkaban,Prisoner of Azkaban and Philosopher's Stone are the only books that do not have a chapter with the same title as the book.
Harry Potter and the Prisoner of Azkaban,"Although somewhat darker than the first book, this one holds the distinction of being the only Harry Potter book where no one actually dies during the events of the book (with the possible exception of Harry Potter and the Chamber of Secrets, where the Basilisk, a magical creature of indeterminate sentience, was the only being to die). Although it appears that Buckbeak dies, he was in fact saved by the time-travelling Harry and Hermione. What the trio thought was the execution was in fact Macnair swinging his axe into a stump out of frustration."
Harry Potter and the Prisoner of Azkaban,"This is one of only two books, along with the Half-Blood Prince, where Voldemort does not appear in person.
This is the only book where Voldemort is not seen at all, even in memories, although he is mentioned numerous times. In fact, he is not only not the main antagonist, but he has almost nothing to do directly with the events of the book."
Harry Potter and the Prisoner of Azkaban,"This is the only book where Voldemort is not seen at all, even in memories, although he is mentioned numerous times. In fact, he is not only not the main antagonist, but he has almost nothing to do directly with the events of the book."
Harry Potter and the Prisoner of Azkaban,"This is the first of two books in which the title refers to a character, the other being the sixth book, Harry Potter and the Half-Blood Prince."
Harry Potter and the Prisoner of Azkaban,"This is the only book in the series whose name has a word completely original to the series, this word being ""Azkaban""."
